[discover] testando 26 endpoints · janela 2026-09-01..2026-09-11

  ✗ 401 · /relatorios? · sem permissao
  ✗ 401 · /relatorios?dataInicio=2026-09-01&dataFim=2026-09-11 · sem permissao
  ✗ 401 · /relatorios/comissoes?dataInicio=2026-09-01&dataFim=2026-09-11 · sem permissao
  ✗ 401 · /relatorios/comissao?dataInicio=2026-09-01&dataFim=2026-09-11 · sem permissao
  ✗ 401 · /relatorios/pagamentos?dataInicio=2026-09-01&dataFim=2026-09-11 · sem permissao
  ✗ 401 · /relatorios/comandas?dataInicio=2026-09-01&dataFim=2026-09-11 · sem permissao
  ✗ 401 · /relatorio/comissoes?dataInicio=2026-09-01&dataFim=2026-09-11 · sem permissao
  ✗ 401 · /comissoes?dataInicio=2026-09-01&dataFim=2026-09-11 · sem permissao
  ✗ 401 · /pagamentos?dataInicio=2026-09-01&dataFim=2026-09-11 · sem permissao
  ✗ 401 · /pagamentos/comissoes?dataInicio=2026-09-01&dataFim=2026-09-11 · sem permissao
  ✗ 401 · /recebiveis?dataInicio=2026-09-01&dataFim=2026-09-11 · sem permissao
  ✗ 401 · /comandas?dataInicio=2026-09-01&dataFim=2026-09-11 · sem permissao
  ✗ 401 · /comandas/pagamentos?dataInicio=2026-09-01&dataFim=2026-09-11 · sem permissao
  ✗ 401 · /atendimentos?dataInicio=2026-09-01&dataFim=2026-09-11 · sem permissao
  ✗ 401 · /servicos-executados?dataInicio=2026-09-01&dataFim=2026-09-11 · sem permissao
  ✗ 401 · /servicos/executados?dataInicio=2026-09-01&dataFim=2026-09-11 · sem permissao
  ✗ 401 · /lancamentos?dataInicio=2026-09-01&dataFim=2026-09-11 · sem permissao
  ✗ 401 · /lancamentos-financeiros?dataInicio=2026-09-01&dataFim=2026-09-11 · sem permissao
  ✗ 401 · /comissoes?dataPagamentoInicio=2026-09-01&dataPagamentoFim=2026-09-11 · sem permissao
  ✗ 401 · /pagamentos?dataPagamentoInicio=2026-09-01&dataPagamentoFim=2026-09-11 · sem permissao
  ✗ 401 · /relatorio-comissoes?dataInicio=2026-09-01&dataFim=2026-09-11 · sem permissao
  ✗ 401 · /faturamento?dataInicio=2026-09-01&dataFim=2026-09-11 · sem permissao
  ✗ 401 · /faturamento/comissoes?dataInicio=2026-09-01&dataFim=2026-09-11 · sem permissao
  ✗ 401 · /profissionais/producao?dataInicio=2026-09-01&dataFim=2026-09-11 · sem permissao
  ✗ 401 · /profissionais/comissoes/lancamentos?dataInicio=2026-09-01&dataFim=2026-09-11 · sem permissao
  ✗ 401 · /profissionais/comissoes/relatorio?dataInicio=2026-09-01&dataFim=2026-09-11 · sem permissao

[discover] 0 endpoints devolveram dado util
